age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_n,education_n,marital-status_n,occupation_n,relationship_n,race_n,sex_n,result_n
25,204338,9,0,0,30,3,11,3,4,4,3,1,0
64,164204,2,0,0,53,3,3,1,13,0,3,1,0
17,160118,8,0,0,10,3,2,3,11,1,3,0,0
45,102096,13,0,0,40,3,9,1,3,0,3,1,1
28,309620,10,0,0,60,3,15,1,11,0,2,1,0
46,39363,10,0,0,10,3,15,0,7,4,3,0,0
48,229846,11,0,0,40,3,8,0,7,1,3,0,0
46,219962,13,7298,0,40,4,9,1,6,0,3,1,1
30,125159,13,14084,0,45,2,9,3,9,1,1,1,1
37,287306,12,99999,0,40,2,7,1,9,5,1,0,1
18,146378,10,0,0,40,3,15,3,7,3,3,0,0
46,179048,9,0,0,35,3,11,1,11,0,3,1,0
66,222810,10,7896,0,40,2,15,0,7,2,3,0,1
24,184400,9,0,0,30,3,11,3,13,3,0,1,0
34,207668,9,0,0,54,4,11,1,2,0,3,1,1
37,163392,9,0,0,40,3,11,3,13,2,0,1,0
36,135293,13,1506,0,45,3,9,0,9,4,3,0,0
21,206861,10,0,0,20,3,15,3,11,3,3,1,0
76,33213,14,0,0,30,5,12,1,9,0,3,1,1
42,204033,13,0,0,35,4,9,1,1,5,3,0,0
41,70037,10,0,3004,60,3,15,3,2,4,3,1,1
35,90273,4,0,0,40,3,5,1,6,0,3,1,1
55,157079,10,0,0,40,3,15,1,10,0,1,1,1
25,233777,9,0,0,40,3,11,3,13,2,3,1,0
21,206492,9,0,0,40,3,11,3,11,3,3,0,0
50,128378,3,0,0,55,3,4,1,5,0,3,1,0
30,164190,9,0,0,38,3,11,3,1,1,3,1,0
53,228723,9,0,0,40,2,11,0,2,1,2,1,1
41,163322,13,0,0,30,3,9,0,12,1,3,0,0
37,129573,16,0,0,72,1,10,1,9,0,3,1,1
38,414991,9,0,0,70,5,11,1,6,0,3,1,0
50,196193,14,0,0,60,3,12,2,9,2,3,1,0
40,37618,10,0,0,40,3,15,1,2,0,3,1,0
36,189674,9,0,0,28,3,11,3,8,4,1,0,0
41,182567,13,0,0,40,3,9,1,3,0,3,1,1
35,163582,6,0,0,16,0,0,0,0,4,3,0,0
63,88653,10,0,0,40,3,15,1,9,0,3,1,0
27,269354,13,0,0,25,3,9,1,11,0,3,1,0
43,163215,13,0,0,35,3,9,1,7,5,3,0,1
27,195681,10,0,0,48,3,15,3,9,1,3,0,0
38,189404,9,0,0,35,3,11,2,7,1,3,1,0
42,132633,9,0,0,40,3,11,3,8,1,3,0,0
33,164707,12,2174,0,55,3,7,3,3,4,3,0,0
30,179112,13,0,0,40,3,9,3,9,3,1,1,0
24,215115,13,0,0,40,1,9,3,12,3,3,0,0
35,188069,14,13550,0,55,3,12,3,9,1,3,1,1
25,310864,13,0,0,40,3,9,3,12,1,1,1,0
42,50018,9,0,0,40,3,11,1,7,0,3,1,0
37,325538,14,0,0,40,1,12,1,9,0,3,1,1
35,343403,16,0,0,20,3,10,1,12,5,3,0,0
32,245482,9,0,0,40,3,11,1,6,0,0,1,0
18,74054,7,0,0,20,3,1,3,11,3,2,0,0
46,170850,13,0,1590,40,3,9,0,6,1,3,1,0
20,197496,10,0,0,30,3,15,3,11,3,3,1,0
39,487486,9,0,0,40,3,11,5,5,4,3,1,0
44,195124,9,0,0,60,4,11,1,13,0,3,1,0
48,166929,13,0,0,45,3,9,1,1,0,3,1,1
40,163215,13,0,0,40,1,9,3,9,1,3,0,0
53,104501,16,0,0,40,6,10,1,9,0,3,1,1
20,285295,10,0,0,40,3,15,3,6,1,0,0,0
60,216690,10,0,0,40,3,15,1,9,0,3,1,0
38,193026,9,0,1408,40,3,11,3,7,4,3,1,0
46,233555,9,0,0,40,1,11,0,1,4,1,0,0
62,221558,14,0,0,24,6,12,4,9,4,3,0,0
30,178255,13,0,0,70,5,9,1,11,0,3,1,0
57,140426,2,0,0,35,3,3,2,7,1,3,1,0
41,169628,9,0,0,40,3,11,1,6,5,1,0,0
29,125159,10,0,0,36,0,15,3,0,1,1,1,0
35,359131,13,7298,0,8,3,9,1,9,5,3,0,1
23,361481,6,0,0,40,3,0,1,7,0,3,1,0
27,210867,4,0,0,50,3,5,3,4,3,3,1,0
41,207685,9,0,0,45,3,11,1,13,0,3,1,0
29,144259,13,4386,0,80,3,9,1,5,0,1,1,1
56,208415,9,0,0,40,3,11,0,3,1,1,1,0
36,343721,16,0,0,30,5,10,3,9,1,3,1,1
43,143582,3,0,2129,72,3,4,1,6,5,0,0,0
37,130620,8,0,0,33,3,2,1,11,5,0,0,0
34,241360,9,0,0,40,3,11,1,9,0,3,1,0
24,178255,10,0,0,40,3,15,1,8,5,3,0,0
29,190350,8,0,0,35,3,2,3,7,4,1,0,0
40,190290,13,0,0,40,4,9,1,11,0,3,1,1
41,216116,9,0,0,40,3,11,4,1,4,1,0,0
40,269168,9,0,0,40,2,11,1,7,0,2,1,0
28,103802,13,0,1408,40,3,9,3,3,3,3,0,0
50,162327,13,0,1902,50,3,9,1,1,0,3,1,1
19,158343,10,0,0,40,3,15,3,12,3,3,0,0
54,99185,16,0,0,50,4,10,1,9,0,3,1,1
46,328216,13,0,1902,42,4,9,1,11,0,3,1,1
26,149943,9,0,0,60,3,11,3,7,2,0,1,0
42,46221,16,27828,0,60,3,10,2,7,1,3,1,1
35,35309,13,0,0,28,1,9,3,12,1,0,1,0
32,647882,9,0,0,40,0,11,1,0,0,3,1,0
29,394927,11,0,0,40,3,8,1,7,0,3,1,0
36,160120,13,0,0,45,5,9,1,11,0,2,1,0
45,155664,3,0,0,40,4,4,1,2,0,3,1,1
52,84278,10,7688,0,55,3,15,1,3,0,3,1,1
18,120691,10,0,0,35,3,15,3,7,3,1,1,0
61,119986,14,0,0,40,3,12,1,9,0,3,1,1
26,142689,13,0,0,45,3,9,3,9,1,3,1,0
30,496414,16,0,0,40,3,10,3,9,1,3,1,0
38,179579,10,0,0,50,3,15,1,9,0,3,1,1
39,112158,10,0,0,26,3,15,1,11,0,3,1,0
42,115323,16,0,0,7,5,10,3,9,1,3,1,0
52,135339,10,0,0,40,5,15,1,2,0,0,1,1
41,397280,13,0,0,72,4,9,1,3,0,3,1,0
39,331481,13,0,1669,60,5,9,0,2,1,1,1,0
33,126414,13,0,0,40,3,9,1,7,5,3,0,0
28,150025,7,0,0,40,3,1,3,2,1,3,1,0
39,137522,9,0,0,40,3,11,1,6,0,0,1,1
37,59313,10,0,0,40,3,15,4,7,1,1,1,0
54,121761,9,0,0,50,5,11,1,3,0,0,1,0
42,185129,16,0,0,43,2,10,1,3,0,3,1,1
37,188576,16,0,0,40,3,10,1,9,0,0,1,0
45,185497,13,0,0,70,4,9,1,3,5,0,0,0
53,88725,9,0,0,40,3,11,3,2,1,2,0,0
26,227489,9,0,0,40,3,11,3,12,2,1,1,0
31,185480,9,0,0,40,3,11,1,1,5,3,0,1
65,271092,10,0,0,40,3,15,0,1,4,3,0,0
37,244803,9,0,0,40,2,11,1,2,0,3,1,0
35,200117,13,0,1887,50,3,9,1,3,0,0,1,1
31,217962,8,0,0,40,3,2,3,5,1,1,1,0
36,135162,9,0,0,45,3,11,3,11,3,3,1,0
54,117674,10,0,0,40,5,15,0,2,1,3,1,0
36,58337,6,0,0,35,3,0,3,11,4,3,0,0
19,258633,10,0,0,25,3,15,3,1,3,3,0,0
35,103710,13,0,0,16,0,9,0,0,4,3,0,0
30,321990,14,15024,0,60,4,12,1,3,0,3,1,1
59,147989,9,0,0,40,3,11,1,6,0,3,1,0
40,170019,9,0,0,40,3,11,3,7,1,3,1,0
50,95577,9,0,0,12,5,11,1,7,5,3,0,0
46,113806,8,7298,0,40,3,2,1,2,0,3,1,1
36,242713,9,0,0,40,3,11,0,1,4,1,0,0
36,247558,15,5178,0,60,3,14,1,9,0,3,1,1
27,104457,13,0,0,40,3,9,3,6,1,0,1,0
31,166343,9,0,0,50,3,11,3,6,3,1,1,0
24,122234,10,0,0,20,3,15,3,1,1,1,0,0
52,201310,13,0,0,40,3,9,0,3,1,3,1,0
22,112164,10,0,0,40,3,15,3,3,3,3,0,0
29,106334,14,0,0,40,6,12,3,3,1,3,1,0
31,176185,13,4064,0,40,2,9,1,6,0,3,1,0
34,303187,13,0,0,40,3,9,1,9,0,0,1,1
45,274657,7,0,0,40,3,1,1,2,0,3,1,0
36,216711,9,99999,0,50,4,11,1,3,0,3,1,1
35,152734,10,0,0,40,3,15,1,10,0,1,1,0
22,156773,10,0,0,15,6,15,3,9,1,3,1,0
28,224506,10,0,0,40,3,15,1,11,0,1,1,0
55,305759,9,0,0,40,3,11,0,7,1,3,1,0
81,201398,14,0,0,60,3,12,5,9,4,3,1,0
41,529216,13,7430,0,45,3,9,0,12,4,1,1,1
18,118376,10,0,0,16,3,15,3,7,3,3,0,0
26,153078,9,0,0,80,3,11,3,1,3,0,1,1
37,122265,9,0,0,42,0,11,0,0,1,0,0,0
25,250038,11,0,0,40,3,8,3,1,1,3,1,0
63,225102,9,0,0,40,3,11,1,5,0,1,1,0
28,150025,5,0,0,50,3,6,3,2,1,3,1,1
26,243560,10,0,0,40,3,15,3,11,4,3,0,0
22,433669,12,0,0,36,3,7,3,5,1,3,1,0
50,238959,13,99999,0,60,3,9,1,11,0,3,1,1
18,296090,9,0,0,48,5,11,3,11,3,3,1,0
51,199688,13,0,1977,60,3,9,1,3,0,3,1,1
38,154568,14,0,0,40,3,12,1,3,0,0,1,0
37,81853,9,0,0,40,1,11,0,9,4,0,0,0
37,82283,3,0,0,40,3,4,1,7,0,0,1,0
59,424468,9,0,0,40,3,11,1,2,0,3,1,0
26,56929,13,0,0,50,3,9,3,3,1,1,1,0
34,25322,13,0,2339,40,3,9,2,6,1,0,1,0
24,193920,14,0,0,45,3,12,3,8,1,3,0,0
24,464502,12,0,0,40,3,7,3,11,1,1,1,0
55,308118,13,0,0,40,3,9,5,6,4,3,0,0
45,480717,13,0,0,38,3,9,1,7,0,0,1,0
22,412316,9,0,0,40,3,11,3,11,2,1,1,0
39,59313,8,0,0,45,3,2,2,13,1,1,1,0
30,180656,10,0,0,40,3,15,2,2,1,3,1,0
32,116834,9,0,0,5,5,11,1,7,5,3,0,0
44,159297,9,0,0,40,3,11,1,3,5,0,0,1
42,125846,2,0,0,60,4,3,1,11,0,3,1,0
21,202570,8,0,0,48,3,2,3,1,2,1,1,0
48,56975,9,0,0,84,4,11,0,11,4,0,0,0
31,145162,13,0,0,60,5,9,1,3,0,3,1,1
26,350853,3,0,0,40,3,4,3,13,1,3,1,0
38,220237,11,0,0,40,3,8,1,2,0,3,1,1
43,144778,9,0,0,40,2,11,1,3,0,3,1,0
35,187415,3,0,0,50,3,4,1,6,0,0,1,0
56,98361,14,0,0,40,3,12,1,9,0,3,1,1
19,223648,7,0,0,20,3,1,3,11,3,3,1,0
72,97304,9,2346,0,40,3,11,2,6,4,3,1,0
45,120131,4,0,0,52,4,5,1,3,0,3,1,0
55,158702,10,0,2339,45,3,15,3,1,1,1,0,0
26,239303,13,0,0,50,3,9,1,9,0,3,1,0
32,62165,13,0,0,40,5,9,1,3,0,1,1,0
38,81232,13,0,0,40,3,9,1,3,0,3,1,1
42,143582,4,0,0,48,3,5,1,7,2,0,0,0
26,147821,13,0,0,45,3,9,3,11,3,3,0,0
20,219266,9,0,0,36,3,11,1,9,3,3,0,0
42,236021,9,0,0,40,3,11,1,2,0,3,1,1
45,121836,10,0,0,40,4,15,1,9,5,3,0,1
34,202822,14,0,0,40,3,12,3,12,4,1,0,0
63,181828,9,0,0,48,3,11,1,11,0,3,1,0
22,211129,11,0,0,10,2,8,3,1,3,3,0,0
60,146674,9,0,0,50,5,11,0,2,1,1,1,0
42,183765,13,0,0,50,5,9,3,9,1,3,1,0
39,116358,13,7688,0,40,4,9,1,11,0,0,1,1
51,215948,10,0,0,40,1,15,1,5,0,2,1,0
34,213226,13,0,1485,35,5,9,1,3,0,3,1,0
34,220631,11,0,0,50,3,8,3,7,1,3,1,0
22,253799,13,0,0,45,3,9,1,6,0,3,1,0
52,266138,13,0,0,40,3,9,1,3,0,3,1,1
31,591711,10,0,0,40,3,15,2,13,1,1,1,0
32,190889,14,0,0,40,2,12,3,9,1,2,0,0
28,177119,14,0,0,80,3,12,3,3,1,3,0,0
51,145714,14,99999,0,50,3,12,1,3,0,3,1,1
74,194312,5,0,0,10,3,6,5,2,1,3,1,0
33,222654,10,0,0,66,2,15,1,5,0,3,1,0
56,251836,3,0,0,40,3,4,1,7,0,3,1,0
45,199058,13,0,0,48,3,9,1,3,0,3,1,0
39,160120,16,0,0,40,5,10,0,1,2,2,1,0
46,126513,9,0,0,40,3,11,4,2,4,1,0,0
43,95634,13,0,0,45,3,9,1,7,5,0,0,0
20,219835,10,0,0,30,3,15,3,11,3,3,1,0
43,195212,13,0,0,40,3,9,1,3,5,1,0,0
35,186126,14,0,0,38,3,12,1,9,0,3,1,0
33,119918,13,0,0,45,0,9,3,0,1,1,1,0
52,178983,16,0,0,40,3,10,1,9,0,3,1,1
48,162236,14,0,0,40,5,12,5,3,4,3,0,1
49,133917,11,0,0,40,3,8,3,11,2,1,1,0
28,149646,10,0,0,20,0,15,0,0,3,3,0,0
35,193260,14,0,0,40,5,12,1,11,0,0,1,1
30,144593,9,0,0,40,3,11,3,7,1,1,1,0
29,113870,2,0,0,40,3,3,1,7,0,3,1,0
25,164488,13,0,0,40,3,9,1,9,0,3,1,0
34,238305,10,0,1628,12,3,15,1,7,5,3,0,0
44,135056,14,0,0,16,2,12,0,9,4,3,0,0
41,185057,11,0,0,40,3,8,3,2,1,3,0,0
36,177907,13,2176,0,20,3,9,3,7,1,3,1,0
47,119471,4,0,0,40,4,5,3,2,1,2,1,0
18,205894,10,0,0,25,3,15,3,11,3,3,1,0
39,218490,15,0,2415,50,5,14,1,9,0,3,1,1
43,183765,10,0,0,40,3,15,0,12,1,3,1,1
41,216968,13,0,0,40,3,9,3,5,1,1,1,0
26,359327,10,0,0,50,3,15,1,11,0,3,1,0
32,154571,10,0,0,40,3,15,3,7,2,0,1,0
45,129387,12,0,0,40,3,7,0,12,4,3,0,0
90,311184,13,0,0,20,3,9,1,11,0,3,1,0
37,196529,10,2354,0,40,3,15,5,7,1,3,0,0
43,156996,15,0,2415,55,1,14,1,9,0,0,1,1
31,217962,10,0,0,40,3,15,3,10,2,1,1,0
44,116358,13,0,0,50,4,9,1,11,0,0,1,1
30,144593,9,0,0,40,3,11,3,7,1,1,1,0
29,54411,9,0,0,50,3,11,3,4,1,3,1,0
27,251854,13,0,0,35,0,9,1,0,5,1,0,1
42,157367,9,0,0,35,3,11,3,1,4,1,0,0
33,160216,14,0,0,32,3,12,3,3,1,3,0,0
43,506329,13,15024,0,40,6,9,1,9,0,0,1,1
50,221336,10,0,0,40,5,15,0,3,4,0,0,0
44,237993,15,0,0,45,3,14,1,6,0,3,1,0
39,144608,13,0,0,40,3,9,3,9,1,3,1,1
39,258276,13,3137,0,40,3,9,1,12,0,0,1,0
57,143030,9,0,0,30,3,11,5,7,4,3,0,0
36,609935,13,0,0,48,5,9,1,13,0,1,1,0
41,203943,8,0,0,40,3,2,1,10,0,1,1,0
30,119164,13,0,0,40,3,9,3,7,4,3,1,0
39,258037,14,0,0,40,3,12,3,1,1,3,1,0
21,400635,10,0,0,20,3,15,3,7,1,3,0,0
38,110426,16,7688,0,40,6,10,1,9,5,3,0,1
39,165106,13,0,1564,50,3,9,2,2,1,3,1,1
33,35309,13,0,0,40,3,9,3,3,1,0,1,0
34,317809,13,0,0,50,3,9,1,3,0,3,1,1
63,221072,13,0,0,49,3,9,1,2,0,3,1,0
27,133929,13,0,0,36,3,9,3,9,4,3,0,0
36,150601,15,0,0,50,3,14,1,9,0,3,1,0
56,215839,10,0,0,60,3,15,1,13,0,3,1,0
58,147653,6,0,1977,35,5,0,1,2,5,3,0,1
38,152237,13,0,0,45,3,9,3,11,1,3,1,1
63,339755,13,0,0,50,3,9,1,9,0,3,1,1
35,126675,9,0,0,46,3,11,0,2,1,3,1,0
29,46609,6,0,0,40,3,0,3,2,1,1,1,0
28,315287,9,0,0,40,3,11,3,1,2,1,1,0
72,268861,4,0,0,99,3,5,5,7,1,3,0,0
22,166371,9,0,0,40,3,11,3,7,2,3,1,0
34,263307,13,0,0,45,3,9,3,11,4,1,1,0
69,199591,15,0,0,25,0,14,1,0,5,3,0,0
47,209212,5,0,0,56,3,6,1,6,0,1,1,0
57,275943,4,0,0,40,5,5,1,9,0,3,1,0
55,316027,4,0,0,40,0,5,1,0,0,3,1,0
37,245482,9,0,0,40,3,11,1,13,0,0,1,0
34,609789,9,0,0,30,3,11,1,7,0,3,1,0
33,137310,9,0,0,40,3,11,3,6,3,3,0,0
39,99146,14,0,0,40,3,12,1,9,0,3,1,1
46,175958,8,0,0,45,4,2,1,2,0,3,1,0
36,218948,5,0,0,40,3,6,4,7,4,1,0,0
52,155433,3,0,0,40,3,4,3,6,1,3,0,0
24,229553,9,0,0,20,3,11,3,7,3,1,0,0
30,191777,10,0,0,40,3,15,3,1,4,1,0,0
21,86625,10,0,0,40,3,15,3,6,3,3,1,0
30,158200,15,0,0,40,3,14,3,9,3,0,0,0
52,92968,13,0,0,40,3,9,4,3,4,3,0,0
42,177937,13,0,0,50,2,9,0,9,1,3,1,0
55,196126,13,0,0,40,3,9,4,2,1,3,1,0
47,202812,14,0,0,40,3,12,1,9,0,3,1,1
38,108907,9,0,0,40,3,11,0,6,4,3,1,0
62,41793,14,0,0,50,2,12,4,9,1,3,0,0
37,187411,13,0,0,50,5,9,1,13,0,3,1,0
32,199655,10,0,1740,40,3,15,1,1,5,2,0,0
27,169958,3,0,0,40,3,4,3,2,3,3,1,0
37,188774,7,0,0,60,4,1,2,11,1,3,1,0
42,337629,8,0,0,60,3,2,1,2,0,1,1,1
49,149809,1,0,0,40,3,13,1,7,0,3,1,0
50,157043,14,2202,0,30,2,12,0,9,1,1,0,0
32,228357,11,0,0,40,3,8,0,7,4,3,0,0
56,165315,6,0,0,70,3,0,1,2,0,3,1,0
24,27939,10,0,0,24,6,15,1,7,0,0,1,0
44,228729,9,0,0,40,3,11,1,2,0,1,1,0
27,209801,10,0,0,45,3,15,3,1,1,3,0,0
31,164707,10,0,0,40,3,15,3,11,2,3,0,0
40,79586,15,99999,0,40,3,14,1,9,0,0,1,1
33,293063,13,0,0,40,2,9,2,9,2,1,1,0
33,112847,9,0,0,40,3,11,1,13,0,0,1,0
34,198613,7,0,0,25,3,1,1,11,0,3,1,0
43,244172,9,0,0,35,3,11,1,6,0,3,1,0
28,37821,11,0,0,55,3,8,3,11,4,3,0,0
38,103408,14,0,0,40,3,12,1,3,0,1,1,0
34,340917,15,2829,0,50,3,14,1,3,0,3,1,0
40,214891,13,0,0,45,3,9,2,13,3,2,1,0
26,90277,9,0,0,40,3,11,3,1,3,3,1,0
40,209344,9,0,0,15,4,11,0,1,4,3,0,0
21,143604,10,0,0,29,3,15,3,7,3,3,0,0
31,162551,8,0,0,50,5,2,1,11,5,0,0,0
36,361888,10,0,0,40,3,15,1,2,0,3,1,1
57,122497,5,0,0,52,3,6,5,7,4,1,1,0
56,83696,13,0,0,38,6,9,4,9,1,3,0,0
33,578701,13,0,0,40,3,9,1,3,0,1,1,0
24,270872,9,594,0,40,3,11,3,2,2,3,1,0
19,254247,8,0,0,38,3,2,3,1,3,3,1,0
54,304570,13,7688,0,40,4,9,1,6,0,0,1,1
20,153583,10,0,0,40,3,15,3,1,3,3,0,0
32,251701,12,0,0,40,3,7,3,9,1,3,1,0
22,341610,10,0,0,35,3,15,3,11,1,3,1,0
27,282664,13,0,0,45,2,9,3,9,1,2,0,0
27,271603,4,0,0,24,3,5,3,7,1,3,1,0
30,54684,15,0,0,55,1,14,3,3,1,3,1,0
46,200949,13,0,0,50,4,9,5,3,1,3,0,0
37,186191,9,0,0,45,3,11,1,7,0,3,1,0
21,335570,10,0,0,30,3,15,3,6,3,3,1,0
41,211873,11,0,1628,5,0,8,1,0,5,3,0,0
51,178054,10,0,0,40,3,15,1,11,0,3,1,1
30,260782,9,0,0,40,3,11,3,2,4,3,1,0
41,120277,13,0,0,40,4,9,1,3,0,3,1,0
24,311949,9,0,0,45,0,11,3,0,1,0,0,0
24,506329,10,0,0,40,6,15,3,1,3,0,1,0
39,188069,13,0,0,40,3,9,1,6,0,3,1,0
42,187720,14,15024,0,50,3,12,1,11,0,3,1,1
28,373698,8,0,0,45,3,2,1,9,0,3,1,0
32,209317,9,0,0,40,3,11,4,3,1,3,1,0
47,267205,11,0,0,60,3,8,1,2,0,3,1,1
47,120781,14,15024,0,40,3,12,1,3,0,0,1,1
41,185145,9,0,0,45,3,11,1,12,0,3,1,1
34,182714,9,0,0,35,3,11,4,7,1,3,0,0
26,331861,13,0,0,60,3,9,3,3,1,3,1,0
32,39223,6,0,0,40,3,0,4,2,4,1,0,0
55,117357,16,0,0,70,6,10,1,9,0,0,1,1
68,208478,14,0,0,18,3,12,1,9,0,3,1,0
20,107242,9,0,0,40,3,11,3,6,1,1,1,0
37,154571,10,0,0,40,3,15,1,2,0,0,1,0
28,129624,9,0,0,40,3,11,3,5,1,3,1,0
38,320451,14,0,0,40,3,12,1,9,0,0,1,0
47,207540,4,0,0,40,4,5,1,2,0,3,1,0
36,31438,9,0,0,43,3,11,0,13,4,3,1,0
29,110226,14,0,0,65,3,12,3,11,1,3,1,0
50,201689,4,0,1977,63,4,5,1,2,0,3,1,1
56,267763,9,0,0,40,4,11,1,3,0,3,1,0
47,185866,15,0,0,60,3,14,1,9,0,3,1,1
41,90021,9,0,0,40,3,11,1,5,0,3,1,0
38,94559,13,7688,0,50,0,9,1,0,5,2,0,1
26,181666,12,0,0,40,3,7,1,1,3,3,0,0
43,147269,6,0,0,60,5,0,1,2,0,3,1,0
68,202699,14,0,2377,42,6,12,1,9,0,3,1,1
52,135607,10,0,0,40,3,15,5,7,4,1,0,0
67,239705,16,0,0,12,6,10,1,9,0,1,1,0
21,215039,9,0,0,13,3,11,3,2,3,3,1,0
36,156780,9,0,0,40,3,11,3,11,2,0,0,0
22,119592,12,0,2824,40,3,7,3,5,1,1,1,1
45,108100,13,99999,0,25,4,9,1,3,5,0,0,1
41,43945,4,0,0,40,3,5,1,2,0,3,1,0
42,92288,14,0,0,40,3,12,1,11,0,0,1,0
42,53727,9,0,0,40,1,11,1,13,0,3,1,0
36,358682,13,0,0,50,3,9,3,3,2,3,1,0
27,405765,9,0,0,40,3,11,1,2,0,3,1,1
37,220644,9,0,0,40,3,11,0,7,4,1,0,0
68,286869,4,0,1668,40,0,5,5,0,1,3,0,0
55,175942,16,0,1977,55,3,10,1,9,0,3,1,1
48,353824,10,0,0,40,0,15,1,0,0,3,1,1
24,212210,12,0,0,20,2,7,3,1,3,3,0,0
64,388594,15,15024,0,45,1,14,1,9,0,3,1,1
